,Ort,Stärke
0,"7km NW of The Geysers, CA",0.56
1,"57km NNE of Gambell, Alaska",3.2
2,"27km ENE of Sarpol-e Zahab, Iran",4.4
3,"60km NNW of Charlotte Amalie, U.S. Virgin Islands",3.0
4,"7km ENE of San Simeon, CA",1.86
5,"42km NE of Big Pine, California",1.1
6,"65km SSW of Kaktovik, Alaska",2.0
7,"70km N of Culebra, Puerto Rico",3.56
8,"25km SE of Jarm, Afghanistan",4.3
9,"8km N of Borrego Springs, CA",0.89
10,"23km ENE of Honaunau-Napoopoo, Hawaii",0.99
11,"10km N of Borrego Springs, CA",0.86
12,"2km NNW of Friday Harbor, Washington",0.25
13,"30km W of Big Lake, Alaska",1.5
14,"6km WNW of Cobb, CA",1.41
15,"11km ENE of Mammoth Lakes, CA",1.03
16,"12km S of Big Lake, Alaska",1.9
17,"11km ENE of Mammoth Lakes, CA",0.85
18,"4km SE of Yucaipa, CA",0.81
19,"7km WNW of The Geysers, CA",1.16
20,"96km SSW of Kaktovik, Alaska",2.2
21,"98km NW of Nikiski, Alaska",0.2
22,"106km NNW of Lae, Papua New Guinea",5.0
23,"64km WNW of Talkeetna, Alaska",1.6
24,"97km NW of Nikiski, Alaska",0.6
25,"9km NE of Aguanga, CA",0.54
26,"74km N of Brenas, Puerto Rico",3.17
27,"163km S of Kotzebue, Alaska",1.7
28,"9km ESE of Pala, CA",0.83
29,"22km ENE of Honaunau-Napoopoo, Hawaii",1.4
30,"2km N of Langston, Oklahoma",2.6
31,"63km N of Culebra, Puerto Rico",3.12
32,"10km E of Cloverdale, CA",1.57
33,"21km ENE of Honaunau-Napoopoo, Hawaii",3.41
34,"22km ENE of Honaunau-Napoopoo, Hawaii",2.58
35,"59km WNW of Talkeetna, Alaska",1.4
36,"55km N of Culebra, Puerto Rico",2.97
37,"113km W of Cantwell, Alaska",1.4
38,"72km E of Cape Yakataga, Alaska",1.6
39,"28km WSW of Hawthorne, Nevada",0.7
40,"60km NNW of Charlotte Amalie, U.S. Virgin Islands",2.77
41,"67km N of Culebra, Puerto Rico",2.22
42,"22km ENE of Honaunau-Napoopoo, Hawaii",2.04
43,"61km NNW of Charlotte Amalie, U.S. Virgin Islands",2.6
44,"95km NW of Nikiski, Alaska",0.5
45,"85km N of Kobuk, Alaska",1.5
46,"63km NNW of Charlotte Amalie, U.S. Virgin Islands",3.06
47,"50km NNE of Shizunai, Japan",4.3
48,"67km NNW of Charlotte Amalie, U.S. Virgin Islands",2.9
49,"81km NNW of Charlotte Amalie, U.S. Virgin Islands",2.61
50,"64km NNW of Charlotte Amalie, U.S. Virgin Islands",3.16
51,"4km ENE of Calimesa, CA",1.43
52,"68km N of Culebra, Puerto Rico",2.98
53,"2km NNW of The Geysers, CA",1.07
54,"26km S of Gardnerville Ranchos, Nevada",1.0
55,"13km SE of Pinnacles, CA",1.18
56,"4km ENE of Calimesa, CA",1.44
57,"128km S of Shemya Island, Alaska",4.6
58,"65km N of Culebra, Puerto Rico",3.27
59,"25km NW of Fishhook, Alaska",1.6
60,"10km S of Sunol, CA",1.36
61,"44km NNW of Charlotte Amalie, U.S. Virgin Islands",2.59
62,"65km ENE of Cape Yakataga, Alaska",1.6
63,"58km WSW of Willow, Alaska",0.8
64,"9km NE of Aguanga, CA",0.6
65,"56km N of Culebra, Puerto Rico",3.8
66,"66km NNW of Charlotte Amalie, U.S. Virgin Islands",3.18
67,"60km NNW of Charlotte Amalie, U.S. Virgin Islands",2.41
68,"7km NW of The Geysers, CA",0.88
69,"18km E of Toms Place, CA",1.52
70,"29km WSW of Hawthorne, Nevada",0.9
71,"65km E of Sutton-Alpine, Alaska",1.5
72,"14km SE of Anza, CA",0.82
73,"7km SSW of Idyllwild, CA",0.76
74,"105km NNW of Arctic Village, Alaska",1.8
75,"11km WSW of Anza, CA",0.21
76,"6km NE of Aguanga, CA",0.25
77,"93km SW of Anchor Point, Alaska",1.4
78,"34km NW of Beatty, Nevada",0.3
79,"81km SW of Acajutla, El Salvador",4.5
80,"131km NNE of Cape Yakataga, Alaska",1.1
81,"27km NE of Beatty, Nevada",1.4
82,"10km WSW of Blytheville, Arkansas",1.74
83,"4km E of Pinnacles, CA",0.47
84,"14km SW of Leilani Estates, Hawaii",1.86
85,"7km S of Pearblossum, CA",0.95
86,"10km E of Healdsburg, CA",1.73
87,"8km NE of Clearlake, CA",2.53
88,"9km E of Running Springs, CA",1.69
89,"8km ENE of Aguanga, CA",0.61
90,"13km SW of Redoubt Volcano, Alaska",1.9
91,"8km NE of Cabazon, CA",1.02
92,"81km W of Cantwell, Alaska",1.9
93,"62km SSW of Kaktovik, Alaska",2.3
94,"16km NW of Fillmore, CA",2.05
95,"8km NE of Aguanga, CA",0.5
96,"16km N of Santa Paula, CA",1.62
97,"36km NNE of Yakutat, Alaska",1.4
98,"115km NW of Arctic Village, Alaska",1.8
99,"9km ENE of Aguanga, CA",1.1
100,"7km WNW of The Geysers, CA",1.23
101,"96km NNW of Talkeetna, Alaska",1.7
102,"1km NNE of Alderton, Washington",1.42
103,"30km WSW of Hawthorne, Nevada",1.1
104,"15km SE of Volcano, Hawaii",2.22
105,"10km WSW of Murrieta, CA",0.87
106,"2km NE of The Geysers, CA",1.04
107,"54km SE of Palu, Indonesia",4.6
108,"68km SSW of Kaktovik, Alaska",2.6
109,"10km WSW of Anza, CA",0.36
110,"56km WNW of Wells, Nevada",1.8
111,"19km ESE of Anza, CA",0.59
112,"37km N of Hawthorne, Nevada",0.7
113,"57km SSW of Kaktovik, Alaska",2.4
114,"3km ENE of Calimesa, CA",3.61
115,"54km WNW of Kasiguncu, Indonesia",4.8
116,"65km SSW of Kobuk, Alaska",1.4
117,"9km NE of Aguanga, CA",0.42
118,"22km ENE of Honaunau-Napoopoo, Hawaii",1.43
