,Anzahl,Firma,Jahr,Lehrstelle,Ort
0,3,Mercedes-Benz Automobil AG,2019,Abdichter/in EFZ,Aarau Rohr (AG)
1,1,"Volvo Group (Suisse) SA, Truck Center Aclens",2018,Abdichtungspraktiker/in EBA,Aclens (VD)
2,3,Galliker Transport AG,2019,Agrarpraktiker/in EBA,Altishofen (LU)
3,1,BUS Ostschweiz AG,2019,Agrarpraktiker/in (Landwirtschaft) EBA,Altstätten SG (SG)
4,1,Thomann Nutzfahrzeuge AG,2019,Agrarpraktiker/in (Spezialkulturen) EBA,Arbon (TG)
5,1,Roulin Frères SA,2018,Agrarpraktiker/in (Weinbereitung) EBA,Bercher (VD)
6,1,Nutzfahrzeuge AG Bern,2019,Anlagen- und Apparatebauer/in EFZ,Bern (BE)
7,1,Verkehrsbetriebe Biel,2019,Anlagenführer/in EFZ,Biel/Bienne 4 (BE)
8,1,Armeelogistikcenter Hinwil,2019,Architekturmodellbauer/in EFZ,Bronschhofen (SG)
9,1,Wyss Nutzfahrzeuge AG,2019,Assistent/in Gesundheit und Soziales EBA,Büron (LU)
10,1,MAN Truck & Bus Suisse SA,2018,Augenoptiker/in EFZ,Bussigny (VD)
11,1,Logistikbasis der Armee,2019,Automatiker/in EFZ,Chur (GR)
12,2,Thomann Nutzfahrzeuge AG,2019,Automatikmonteur/in EFZ,Chur (GR)
13,2,Thomann Nutzfahrzeuge AG,2019,Automobil-Assistent/in EBA,Chur (GR)
14,1,Transports publics VMCV,2018,Automobil-Fachmann/-frau EFZ,Clarens (VD)
15,1,Garage Saurer SA,2019,Automobil-Fachmann/-frau (Nutzfahrzeuge) EFZ,Conthey (VS (fr))
16,1,Planzer Technik AG,2019,Automobil-Fachmann/-frau (Personenwagen) EFZ,Dällikon (ZH)
17,2,Volvo Group (Schweiz) AG,2019,Automobil-Mechatroniker/in EFZ,Dällikon (ZH)
18,1,Pfingstweid Truck Center AG,2019,Automobil-Mechatroniker/in (Nutzfahrzeuge) EFZ,Dietikon (ZH)
19,2,Bertschi AG,2019,Automobil-Mechatroniker/in (Personenwagen) EFZ,Dürrenäsch (AG)
20,1,Scania Suisse SA,2018,Bäcker/in-Konditor/in-Confiseur/in EBA,Echandens (VD)
21,1,Alfag Egerkingen AG,2019,Bäcker/in-Konditor/in-Confiseur/in EFZ,Egerkingen (SO)
22,1,Volvo Trucks (Schweiz) AG,2019,Bäcker/in-Konditor/in-Confiseur/in (Bäckerei-Konditorei) EFZ,Egerkingen (SO)
23,2,Nutzfahrzeug AG Zentralschweiz,2019,Bäcker/in-Konditor/in-Confiseur/in (Konditorei-Confiserie) EFZ,Emmen (LU)
24,2,Volvo Group (Schweiz) AG,2019,Baumaschinenmechaniker/in EFZ,Emmenbrücke (LU)
25,1,Armeelogistikcenter,2019,Baupraktiker/in EBA,Emmenbrücke 2 (LU)
26,1,Scania Schweiz AG,2019,Bauwerktrenner/in EFZ,Frauenfeld (TG)
27,2,Thomann Nutzfahrzeuge AG,2019,Bekleidungsgestalter/in EFZ,Frauenfeld (TG)
28,2,B&W Utilitaires SA,2019,Bekleidungsgestalter/in (Berufs- und Schutzbekleidung) EFZ,Givisiez (FR)
29,1,Genossenschaft Migros Ostschweiz,2019,Bekleidungsgestalter/in (Damenbekleidung) EFZ,Gossau SG (SG)
30,2,Mercedes-Benz Automobiles SA,2019,Bekleidungsgestalter/in (Herrenbekleidung) EFZ,Granges-Paccot (FR)
31,1,F. Murpf AG,2019,Bekleidungsgestalter/in (Kopfbedeckung) EFZ,Hägendorf (SO)
32,1,Maltech.ch AG,2019,Bekleidungsgestalter/in (Pelzbekleidung) EFZ,Härkingen (SO)
33,1,Truck Center Mittelland AG,2019,Bekleidungsnäher/in EBA,Härkingen (SO)
34,1,Armeelogistikcenter Hinwil,2019,Betonwerker/in EFZ,Hinwil (ZH)
35,1,LKW Garage Lang AG,2019,Boden-Parkettleger/in EFZ,Hochdorf (LU)
36,1,Nutzfahrzeug AG Zentralschweiz,2019,Boden-Parkettleger/in (Parkett) EFZ,Kägiswil (OW)
37,1,J. Windlin AG,2019,Boden-Parkettleger/in (Textile und elastische Beläge) EFZ,Kerns (OW)
38,1,Wirag AG,2019,Bootbauer/in EFZ,Kirchberg SG (SG)
