,Beruf,Monatslohn,Ort
0,menaj,3400 CHF,Geneva
1,operator cnc,3900 CHF,Geneva
2,electrician intretinere,3600 CHF,Geneva
3,curatenie,3400 CHF,Geneva
4,ingrijire batrani,4000 CHF,Zurich
5,hotel,3500 CHF,Zurich
6,asistent medical,3800 CHF,Zurich
7,asistent medical generalist,3800 CHF,Lausanne
8,ingrijire batrani,4000 CHF,Basel
9,casier,3500 CHF,Zurich
10,tehnician service auto,3500 CHF,Geneva
11,sudori,3500 CHF,Zurich
12,mecanic auto,3500 CHF,Zurich
13,tinichigiu auto,3500 CHF,Zurich
14,lucrator comercial,3750 CHF,Zurich
15,manipulant marfa,3600 CHF,Berna
16,infirmiera,3600 CHF,Zurich
17,montator tamplarie PVC,3750 CHF,Zurich
18,tamplar PVC,3750 CHF,Zurich
19,menajera,3400 CHF,Zurich
20,lucratori padure,3800 CHF,Berna
21,mobila,3600 CHF,Berna
22,agent de paza,3500 CHF,Geneva
23,agent paza,3500 CHF,Zurich
24,curier,3700 CHF,Zurich
25,sofer cat b,3750 CHF,Zurich
26,medic veterinar,4000 CHF,Zurich
27,agricultura,3500 CHF,Zurich
28,ferme,3500 CHF,Zurich
29,agricultura,3600 CHF,Geneva
30,ferme,3500 CHF,Geneva
31,sofer profesionist,4100 CHF,Basel
32,electrician,3500 CHF,Zurich
33,sofer TIR,4130 CHF,Geneva
34,sofer TIR,4150 CHF,Zurich
35,babysitter,3650 CHF,Geneva
36,bona,3700 CHF,Zurich
37,constructii,3500 CHF,Geneva
38,babysitter,3710 CHF,Lausanne
39,lucrator comercial,3750 CHF,Geneva
40,operator aprovizionare,3820 CHF,Zurich
41,lucrator depozit,3750 CHF,Zurich
42,lucrator depozit,3650 CHF,Geneva
43,operator aprovizionare,3750 CHF,Geneva
44,constructii,3600 CHF,Zurich
