Beruf,Anzahl
Abdichter/in EFZ,135
Abdichtungspraktiker/in EBA,44
Agrarpraktiker/in EBA,57
Anlagen- und Apparatebauer/in EFZ,209
Anlagenführer/in EFZ,137
Architekturmodellbauer/in EFZ,0
Assistent/in Gesundheit und Soziales EBA,478
Augenoptiker/in EFZ,122
Automatiker/in EFZ,365
Automatikmonteur/in EFZ,103
Automobil-Assistent/in EBA,89
Automobil-Fachmann/-frau EFZ,607
Automobil-Mechatroniker/in EFZ,558
Bäcker/in-Konditor/in-Confiseur/in EBA,74
Bäcker/in-Konditor/in-Confiseur/in EFZ,338
Baumaschinenmechaniker/in EFZ,70
Baupraktiker/in EBA,96
Bauwerktrenner/in EFZ,20
Bekleidungsgestalter/in EFZ,134
Bekleidungsnäher/in EBA,10
Betonwerker/in EFZ,18
Boden-Parkettleger/in EFZ,136
Bootbauer/in EFZ,6
Bootfachwart/in EFZ,16
Buchhändler/in EFZ,40
Büchsenmacher/in EFZ,1
Bühnentänzer/in EFZ,0
Büroassistent/in EBA,115
Carrosserielackierer/in EFZ,170
Carrosseriespengler/in EFZ,149
Chemie- und Pharmapraktiker/in EBA,16
Chemie- und Pharmatechnologe/-login EFZ,106
Coiffeur/-euse EBA,138
Coiffeur/-euse EFZ,775
Dachdecker/in EFZ,168
Dachdeckerpraktiker/in EBA,46
Dekorationsnäher/in EBA,2
Dentalassistent/in EFZ,452
Detailhandelsassistent/in EBA,963
"Detailhandelsfachmann/-frau EFZ, Schwerpunkt Beratung",2116
"Detailhandelsfachmann/-frau EFZ, Schwerpunkt Bewirtschaftung",1463
Diätkoch/-köchin EFZ,75
Drogist/in EFZ,77
"Edelstein-/Diamantenschleifer/in (EFZ, Kt. Regl. TI)",0
Elektroinstallateur/in EFZ,1534
Elektroniker/in EFZ,204
Elektroplaner/in EFZ,95
Entwässerungspraktiker/in EBA,4
Entwässerungstechnologe/-login EFZ,17
Fachmann/-frau Betreuung EFZ,787
Fachmann/-frau Betriebsunterhalt EFZ,612
Fachmann/-frau Bewegungs- und Gesundheitsförderung EFZ,32
Fachmann/-frau Gesundheit EFZ,1903
Fachmann/-frau Hauswirtschaft EFZ,416
Fachmann/-frau Information und Dokumentation EFZ,24
Fachmann/-frau Kundendialog EFZ,72
Fachmann/-frau Leder und Textil EFZ,7
Fachmann/-frau öffentlicher Verkehr EFZ,33
